Temp (°C): 9.61109 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 0 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.99692 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -50.9815 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.99692 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -50.9815 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.99692 | Solar Rad. (W/m²): 84.732 | Grav. Anomaly (mGal): -50.9815 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.12659 | Solar Rad. (W/m²): 84.732 | Grav. Anomaly (mGal): -50.9815 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.58181 | Solar Rad. (W/m²): 84.732 | Grav. Anomaly (mGal): -39.4661 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.58181 | Solar Rad. (W/m²): 84.732 | Grav. Anomaly (mGal): -39.4661 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -5.2773 | Solar Rad. (W/m²): 84.732 | Grav. Anomaly (mGal): -39.4661 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -5.2773 | Solar Rad. (W/m²): 35.0754 | Grav. Anomaly (mGal): -39.4661 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -5.2773 | Solar Rad. (W/m²): 35.0754 | Grav. Anomaly (mGal): -48.7097 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -4.195 | Solar Rad. (W/m²): 35.0754 | Grav. Anomaly (mGal): -48.7097 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.53974 | Solar Rad. (W/m²): 35.0754 | Grav. Anomaly (mGal): -48.7097 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
